lib_id,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus tanezumi,Mus domesticus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Mus domesticus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Mus domesticus,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus losea,Rattus losea,Bandicota indica,Rattus norvegicus,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Bandicota indica,Bandicota indica,Bandicota indica,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Apodemus chevrieri,Apodemus chevrieri,Rattus rattus alexandrinus,Mus cookii,Mus cookii,Mus domesticus,Mus domesticus,Rattus norvegicus,Rattus tanezumi,Rattus norvegicus,Rattus norvegicus,Rattus nitidus,Rattus tanezumi,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus nitidus,Rattus tanezumi,Rattus norvegicus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus losea,Rattus losea,Rattus losea,Rattus losea,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Bandicota indica,Rattus nitidus,Rattus nitidus,Rattus nitidus,Rattus nitidus,Rattus norvegicus,Rattus losea,Rattus losea,Rattus losea,Bandicota indica,Rattus norvegicus,Rattus nitidus,Rattus losea,Rattus losea,Rattus losea,Rattus losea,Bandicota indica,Bandicota indica,Bandicota indica,Rattus nitidus,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Rattus tanezumi,Mus domesticus,Rattus tanezumi
Hubei_rhabdo-like_virus_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.03493241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunnivirus_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62569218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infectious_bronchitis_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629477802,533.9898776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Influenza_A_virus_H9N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83052655,1852.363976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamastrovirus_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712875534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammarenavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37118.63078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162.371203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new_Aliusviridae1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.845921157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new_Arteriviridae1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.65816489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new_Arteriviridae2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.5795444,0,0,0,0,0,0,0,13884.87034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new_Arteriviridae3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3923.765125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
